Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
NinjaGaidenBlack,XB,2005,Action,Microsoft Game Studios,0.39,0.11,0,0,0.5,94,8.7,M
GrandTheftAuto:ViceCity,PC,2003,Action,Take-Two Interactive,0,0.15,0,0.05,0.2,94,8.8,M
Minecraft,X360,2013,Misc,Microsoft Game Studios,57,26.5,0.2,8.1,91.8,93,,
SuperSmashBros.Brawl,Wii,2008,Fighting,Nintendo,44.13,17,17.73,6.73,85.6,93,8.9,T
Uncharted4:AThief'sEnd,PS4,2016,Shooter,Sony Computer Entertainment,26.43,35.71,2.71,12.14,76.86,93,7.9,T
Minecraft,PS4,2014,Misc,Sony Computer Entertainment Europe,16.44,22.44,1.56,7.56,48,93,,
GearsofWar2,X360,2008,Shooter,Microsoft Game Studios,27.67,12.67,0.4,4.27,45,93,7.7,M
SuperMario3DWorld,WiiU,2013,Platform,Nintendo,21.1,11.6,7.3,3.2,43.2,93,9,E
MetalGearSolidV:ThePhantomPain,PS4,2015,Action,Konami Digital Entertainment,13.63,17,6.13,6,42.63,93,8.2,M
GranTurismo2,PS,1999,Racing,Sony Computer Entertainment,16.17,14.25,7.04,2.08,39.54,93,9,T
StarCraftII:WingsofLiberty,PC,2010,Strategy,Activision,19.77,12.92,0,4.46,37.23,93,8.2,T
WorldofWarcraft,PC,2004,Role-Playing,Activision,0.42,32.68,0,0,33.11,93,7.3,T
TheLegendofZelda:SkywardSword,Wii,2011,Action,Nintendo,16.92,9.67,3.08,3.17,32.92,93,8,E10+
Fallout3,X360,2008,Role-Playing,Bethesda Softworks,22.67,6.6,0.6,3,32.87,93,8.5,M
MassEffect3,X360,2012,Role-Playing,Electronic Arts,17.64,7.64,0.27,2.18,27.64,93,5.8,M
GodofWarII,PS2,2007,Action,Sony Computer Entertainment,14.5,0.25,0.25,10.44,25.44,93,8.9,M
MarioKart:SuperCircuit,GBA,2001,Racing,Nintendo,11.91,7.45,4.5,1.05,24.86,93,8.3,E
StreetFighterIV,X360,2009,Fighting,Capcom,13,5,1.07,1.86,21,93,7.3,T
TheElderScrollsIV:Oblivion,PS3,2007,Role-Playing,Ubisoft,10.56,5.31,0.88,2.69,19.38,93,8,M
BioShockInfinite,X360,2013,Shooter,Take-Two Interactive,12.2,5.4,0.2,1.6,19.3,93,8.5,M
WorldSoccerWinningEleven7International,PS2,2003,Sports,Konami Digital Entertainment,0.4,6.2,5.65,2.25,14.5,93,9,E
TomClancy'sSplinterCell,XB,2002,Action,Ubisoft,8.81,4.95,0,0.62,14.38,93,8.5,T
